drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real,flag_ae_extreme,flag_safety_extreme,flag_efficacy_extreme,n_extremes
alectinib,Alectinib,7.549185303505508,18.79005745053291,7.549185303505508,100,0.612708,0.017073,0.612708,0.017073,7.549185303505508,0.7670287943900587,0.0130471447691634,0.0526010499621624,0.3225505856561213,0.612708,0.017073,18.79005745053291,unweighted_total_prob,0.3225505856561213,56.0,1599.0,4.0,351.0,0.004401711280822784,-0.4619976634521484,7.988055352121592,True,False,True,2
alpelisib,Alpelisib,7.769572818651794,18.582658842206,7.769572818651794,100,0.601233,0.056607,0.601233,0.056607,7.769572818651794,0.7447755868253255,0.0761890007251075,0.0490425239344554,0.3381943398070643,0.601233,0.056607,18.582658842206,unweighted_total_prob,0.3381943398070643,59.0,1588.0,61.0,444.0,-0.007073288719177229,-0.42246366345214836,7.780656743794683,True,False,True,2
sonidegib,Sonidegib,7.690989939495919,18.34893929958343,7.690989939495919,100,0.518759,0.152855,0.518759,0.152855,7.690989939495919,0.5848356268520098,0.2299118051984143,0.0502879815069861,0.3359565691215669,0.518759,0.152855,18.34893929958343,unweighted_total_prob,0.3359565691215669,62.0,1374.0,259.0,426.0,-0.08954728871917728,-0.32621566345214836,7.546937201172113,True,False,True,2
ceritinib,Ceritinib,7.439858605153857,18.265378490090367,7.439858605153857,100,0.700692,0.056373,0.700692,0.056373,7.439858605153857,0.9376541725491412,0.0758152668683338,0.0544445444806985,0.4162766846631298,0.700692,0.056373,18.265378490090367,unweighted_total_prob,0.4162766846631298,63.0,1623.0,60.0,997.0,0.09238571128082274,-0.4226976634521484,7.4633763916790485,True,False,True,2
pemigatinib,Pemigatinib,7.172103243879972,18.10441709309816,7.172103243879972,100,0.566087,0.158954,0.566087,0.158954,7.172103243879972,0.6766177451634424,0.2396528427730413,0.0591968827556916,0.3783476117257318,0.566087,0.158954,18.10441709309816,unweighted_total_prob,0.3783476117257318,65.0,1544.0,278.0,708.0,-0.04221928871917724,-0.3201166634521484,7.302414994686842,True,False,True,2
erdafitinib,Erdafitinib,7.0194118171930295,17.495559915900227,7.0194118171930295,100,0.538457,0.139249,0.538457,0.139249,7.0194118171930295,0.6230355120467909,0.2081809382955819,0.0620693017065083,0.3449004404782508,0.538457,0.139249,17.495559915900227,unweighted_total_prob,0.3449004404782508,74.0,1471.0,227.0,485.0,-0.06984928871917728,-0.33982166345214837,6.693557817488909,True,False,True,2
vismodegib,Vismodegib,7.194071006961165,17.489881470799443,7.194071006961165,100,0.489335,0.115209,0.489335,0.115209,7.194071006961165,0.5277743301736041,0.1697853745484049,0.0587936600598523,0.2907826139007741,0.489335,0.115209,17.489881470799443,unweighted_total_prob,0.2907826139007741,75.0,1175.0,169.0,197.0,-0.11897128871917723,-0.3638616634521484,6.6878793723881245,True,False,True,2
copanlisib,Copanlisib,7.321208938024936,17.399717740714546,7.321208938024936,100,0.506,0.069687,0.506,0.069687,7.321208938024936,0.560092387172844,0.0970797650268162,0.0565075454241735,0.2741703699646988,0.506,0.069687,17.399717740714546,unweighted_total_prob,0.2741703699646988,77.0,1296.0,82.0,144.0,-0.10230628871917724,-0.4093836634521484,6.597715642303228,True,False,True,2
palbociclib,Palbociclib,7.329274541232733,17.293022558093067,7.329274541232733,100,0.594377,0.024989,0.594377,0.024989,7.329274541232733,0.7314799013295687,0.0256902097701057,0.0563651901876601,0.3141410824774018,0.594377,0.024989,17.293022558093067,unweighted_total_prob,0.3141410824774018,79.0,1580.0,14.0,311.0,-0.013929288719177202,-0.4540816634521484,6.491020459681749,True,False,True,2
macitentan,Macitentan,8.385399524867532,17.196068905293938,8.385399524867532,100,0.434973,0.171323,0.434973,0.171323,8.385399524867532,0.4223513349985262,0.2594080311253222,0.0400905666047528,0.2807218597704899,0.434973,0.171323,17.196068905293938,unweighted_total_prob,0.2807218597704899,82.0,621.0,311.0,164.0,-0.17333328871917725,-0.3077476634521484,6.39406680688262,True,False,True,2
sorafenib,Sorafenib,6.993555372580884,17.144604355096813,6.993555372580884,100,0.442734,0.061646,0.442734,0.061646,6.993555372580884,0.4374020664939417,0.0842370558716144,0.0625681292805071,0.2211692748023239,0.442734,0.061646,17.144604355096813,unweighted_total_prob,0.2211692748023239,84.0,681.0,70.0,41.0,-0.16557228871917723,-0.4174246634521484,6.342602256685495,True,False,True,2
