drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real,flag_primary_composite_worst
haloprogin,Haloprogin,2.1684348241426035,5.45849602669477,2.1684348241426035,100.0,0.297947,0.517154,0.297947,0.517154,2.1684348241426035,0.3558151235137265,0.2006421482778767,0.1548301810463712,0.2535489449259155,0.297947,0.517154,5.45849602669477,unweighted_total_prob,0.2535489449259155,317.0,944.0,41.0,52.0,-0.25064085899999994,-0.001585849000000028,-0.16272113530523047,True
dapsone,Dapsone,0.9582073690602536,2.135975098237391,0.9582073690602536,100.0,0.148432,0.518855,0.148432,0.518855,0.9582073690602536,0.105073034932667,0.2999416228838285,0.4591148872616095,0.2538288405789201,0.148432,0.518855,2.135975098237391,unweighted_total_prob,0.2538288405789201,1535.0,40.0,196.0,53.0,-0.40015585899999995,0.00011515099999992451,-3.48524206376261,True
acarbose,Acarbose,0.9949412381974964,2.4975333111360625,0.9949412381974964,100.0,0.176387,0.518262,0.176387,0.518262,0.9949412381974964,0.1519545858558754,0.2653239929947476,0.4389855841656639,0.254708548373382,0.176387,0.518262,2.4975333111360625,unweighted_total_prob,0.254708548373382,1447.0,111.0,128.0,54.0,-0.372200859,-0.00047784900000003017,-3.123683850863938,True
tolazamide,Tolazamide,1.884154365537686,4.477320976555342,1.884154365537686,100.0,0.25254,0.518216,0.25254,0.518216,1.884154365537686,0.2796659343607976,0.2626386456509069,0.1911800757142034,0.2551578471475225,0.25254,0.518216,4.477320976555342,unweighted_total_prob,0.2551578471475225,606.0,548.0,123.0,55.0,-0.29604785899999997,-0.0005238490000000207,-1.1438961854446585,True
ergocalciferol,Ergocalciferol,0.9839528908953052,2.307059575803573,0.9839528908953052,100.0,0.180765,0.518126,0.180765,0.518126,0.9839528908953052,0.1592966509584263,0.2573847051955634,0.4448493908289638,0.2556424206273887,0.180765,0.518126,2.307059575803573,unweighted_total_prob,0.2556424206273887,1491.0,135.0,111.0,56.0,-0.36782285899999995,-0.0006138490000000552,-3.3141575861964276,True
miglitol,Miglitol,1.7493524520425106,4.469571929424997,1.7493524520425106,100.0,0.199313,0.519591,0.199313,0.519591,1.7493524520425106,0.1904023210182964,0.342907180385292,0.2125459791603307,0.2558329963935015,0.199313,0.519591,4.469571929424997,unweighted_total_prob,0.2558329963935015,611.0,211.0,335.0,57.0,-0.349274859,0.0008511509999999944,-1.151645232575004,True
canagliflozin,Canagliflozin,1.652392923249861,4.339719606563444,1.652392923249861,100.0,0.165681,0.520416,0.165681,0.520416,1.652392923249861,0.1340002347850878,0.3910683012259205,0.23006939855552,0.2560412941155073,0.165681,0.520416,4.339719606563444,unweighted_total_prob,0.2560412941155073,657.0,75.0,547.0,58.0,-0.382906859,0.001676150999999959,-1.281497555436557,True
bisacodyl,Bisacodyl,0.8686589868739227,2.103056894615288,0.8686589868739227,100.0,0.144271,0.518597,0.144271,0.518597,0.8686589868739227,0.0980948867161951,0.2848803269118506,0.5153189776537445,0.2562538809819672,0.144271,0.518597,2.103056894615288,unweighted_total_prob,0.2562538809819672,1540.0,35.0,160.0,59.0,-0.4043168589999999,-0.00014284900000005596,-3.5181602673847125,True
ethosuximide,Ethosuximide,1.8828587921336275,4.516664383932944,1.8828587921336275,100.0,0.201514,0.519772,0.201514,0.519772,1.8828587921336275,0.1940934780056684,0.3534734384121448,0.1913708618430391,0.2573009389357331,0.201514,0.519772,4.516664383932944,unweighted_total_prob,0.2573009389357331,596.0,225.0,387.0,60.0,-0.347073859,0.0010321509999999812,-1.104552778067057,True
tetrabenazine,Tetrabenazine,1.8266155149321983,4.553289387375112,1.8266155149321983,100.0,0.262914,0.517973,0.262914,0.517973,1.8266155149321983,0.297063509366248,0.2484530064214852,0.1999141435886927,0.2581894350328318,0.262914,0.517973,4.553289387375112,unweighted_total_prob,0.2581894350328318,572.0,634.0,97.0,61.0,-0.285673859,-0.0007668490000000139,-1.0679277746248887,True
